db_id,user_id,username,severity,category,reason,evidence,reporter_id
12,1321942670117048362,"deleted_user_1bd133ef9612 (deleted_user_1bd133ef9612)",high,other,"Various red flags - reported by death420","No image evidence - message content: <@1321942670117048362> 
User ID: 1321942670117048362

Impersonation of a Twitch Partner / Phishing attempts",365905620060340224
13,838870528394788904,"deleted_user_8ca1b1e91081 (deleted_user_8ca1b1e91081)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1291725789494116424_0.jpg",174920468309082113
14,889550752123613194,"Unknown/Deleted User",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png",685127470625980501
15,899865437267963924,"Unknown/Deleted User",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png",685127470625980501
16,1262388118422552597,"Unknown/Deleted User",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png",685127470625980501
17,1168964497680109710,"deleted_user_7bbb318d0e89 (deleted_user_7bbb318d0e89)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388118422552597_0.png",685127470625980501
18,962489445259571300,"deleted_user_47a0384bbf8e (deleted_user_47a0384bbf8e)",high,other,"Various red flags - reported by wrench105","https://certifriedmultitool.com/evidence/1260323422274326548_0.png",805389643801034762
19,1252296565050179736,"deleted_user_2dc2ca99fca5 (deleted_user_2dc2ca99fca5)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1257515800928190485_0.png",685127470625980501
20,344360533090238475,"i420Guy (i420guy)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1256452609657667635_0.png",365905620060340224
21,1176584054418702407,"Emma Bella (emmabella.14)",high,other,"Various red flags - reported by sheepwego","https://certifriedmultitool.com/evidence/1242948105863827527_0.png",784142127171895306
22,1234980523068100711,"Hazel Vtuber (hazelvtuber0265)",high,other,"Various red flags - reported by collectonian","No image evidence - message content: 1234980523068100711",508695212554715177
23,826176197095719032,"deleted_user_82c97d44e0e0 (deleted_user_82c97d44e0e0)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1234480592796782622_0.png",685127470625980501
24,494654464259653645,"deleted_user_30237338248e (deleted_user_30237338248e)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1230933291922882721_0.jpg",174920468309082113
25,1115591574479458421,"Garcia21 (garcia6544)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1230211328120193104_0.jpg | https://certifriedmultitool.com/evidence/1230211328120193104_1.jpg | https://certifriedmultitool.com/evidence/1230211328120193104_2.jpg",1049686866414280734
26,408995145657221140,"deleted_user_ad216b665105 (deleted_user_ad216b665105)",high,other,"Various red flags - reported by mineycart","https://certifriedmultitool.com/evidence/1228745533154398308_0.png | https://certifriedmultitool.com/evidence/1228745533154398308_1.png",534127122827051028
27,1201129044121485384,"Vivian Grace (viviangrace0607_01490)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1227230327575941310_0.png",685127470625980501
28,485930298412892180,"jisi (jisii)",high,other,"Various red flags - reported by arturiafayth","No image evidence - message content: 485930298412892180 Link spammer for virus infected adobe",132995743177768961
29,489882016809091072,"jamie (jades72)",high,other,"Various red flags - reported by death420","No image evidence - message content: 489882016809091072
Phishing link spammer / hijacked account",365905620060340224
30,1178783723181850654,"❈  🎀  𝒾𝓃𝒶𝓎𝒶𝒜𝓋𝒶  🎀  ❈ (inaya_ava3)",high,other,"Various red flags - reported by death420","No image evidence - message content: 1178783723181850654

1146565855786836038

Gfx artist / spammer",365905620060340224
31,1146565855786836038,"⋆ strike ⋆ (inaya_ava10)",high,other,"Various red flags - reported by death420","No image evidence - message content: 1178783723181850654

1146565855786836038

Gfx artist / spammer",365905620060340224
32,825441611135713290,"nightwing123245 (nightwing123245)",high,other,"Various red flags - reported by maple_sedai","No image evidence - message content: 825441611135713290

Discord bot spamming for $50 steam cards",630887355414478878
33,181498520824578048,"deleted_user_b36eff2cf389 (deleted_user_b36eff2cf389)",high,other,"Various red flags - reported by seelenmorder","https://certifriedmultitool.com/evidence/1205833703016628264_0.jpg",462315941045469211
34,901686554030903328,"Unknown/Deleted User",high,other,"Various red flags - reported by mineycart","No image evidence - message content: The Valhiem Video Game Discord got hacked through one their bots.
Standard do not click on links applies.
Likely only relevant to some people here but",534127122827051028
35,306752459399888896,"Harrah (harrascasinohotel)",high,other,"Various red flags - reported by maple_sedai","No image evidence - message content: Discord user ID: 306752459399888896

This person keeps joining a friend's discord and posting porn stuff. They keep getting banned and he's had to loc",630887355414478878
36,1168309521039499378,"JACK ✔ (jackey0_0)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1199742815207440434_0.jpg",1049686866414280734
37,492140129855733787,"ShaubyP (shaubyp)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: UserID `492140129855733787`
Posting links to spam/exploit Discords (another ""OnlyFans"" one)
Wasn't able to grab a screenshot before another moderator ",685127470625980501
38,1009967945407012884,"Tizzy_ProExpert✅💛 (tizzy_proexpert)",high,other,"Various red flags - reported by shelkie","https://certifriedmultitool.com/evidence/1198936468526215250_0.png",741558619547500615
39,957491067933052938,"Unknown/Deleted User",high,other,"Various red flags - reported by noobst3r","No image evidence - message content: https://discord.com/channels/889550752123613194/957491067933052938/1112062931157389503",765967923164479488
40,1112062931157389503,"Unknown/Deleted User",high,other,"Various red flags - reported by noobst3r","No image evidence - message content: https://discord.com/channels/889550752123613194/957491067933052938/1112062931157389503",765967923164479488
41,792417931425218580,"Unknown/Deleted User",high,other,"Various red flags - reported by vpsdata","No image evidence - message content: unless you give it away for a reason, there is no such thing as giving free stuff away on request, mainly not from random people <:blob_sweat:79241793",322722087070466048
42,1161458790051364875,"deleted_user_188d6d5e8250 (deleted_user_188d6d5e8250)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1193911890238251068_0.png | https://certifriedmultitool.com/evidence/1193911890238251068_1.png",1049686866414280734
43,1193495431733334098,"rona (rona0620)",high,other,"Various red flags - reported by vpsdata","https://certifriedmultitool.com/evidence/1193868470379610192_0.png",322722087070466048
44,1136633667490426960,"Leeshami (leeshami)",high,other,"Various red flags - reported by vpsdata","https://certifriedmultitool.com/evidence/1192903679297208340_0.png",322722087070466048
45,1180498766403477559,"Mr dice (mrdice0421)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1184090813446230086_0.jpg",1049686866414280734
46,1141822719604834466,"N4S (n4sclan)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1182377057703972965_0.png",174920468309082113
47,642864429943488515,"deleted_user_6bd6db41297b (deleted_user_6bd6db41297b)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1181291098463817848_0.png",174920468309082113
48,1180594549509328917,"deleted_user_04313d34aad7 (deleted_user_04313d34aad7)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: `1180594549509328917` 
Your standard oops i reported your steam scammer",534127122827051028
49,1133074560082788473,"Tracy Falcon (tracyfalcon)",high,other,"Various red flags - reported by deathgirl1","https://certifriedmultitool.com/evidence/1178136513243000973_0.png",310550359233921035
50,965779061316149301,"deleted_user_1e189a012b6a (deleted_user_1e189a012b6a)",high,other,"Various red flags - reported by deathgirl1","https://certifriedmultitool.com/evidence/1175117712540844052_0.png",310550359233921035
51,440108203741544459,"N77356S25471 (n77356s25471)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1167855786559545485_0.png",685127470625980501
52,1155143893566881866,"Melissa_Rob. (melissa_rob._94796)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1163907430095270059_0.png",685127470625980501
53,1146935829156085822,"Stella Cox (stellacox110)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1162500136832872538_0.png",685127470625980501
54,997363093795504130,"rockstargee20 (rockstargee20)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1159228945640718367_0.png",685127470625980501
55,371673210917355522,"Elizia Olsen (elisa_._.0_)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1155321362282451034_0.png",365905620060340224
56,946102915322478602,"TheBladeBoy (thebladeboy)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1146419530873180221_0.jpg | https://certifriedmultitool.com/evidence/1146419530873180221_1.jpg",1049686866414280734
57,1090348903276220418,"artist mary (artistmary.)",high,other,"Various red flags - reported by death420","No image evidence - message content: <@1090348903276220418> 
Uder ID: 1090348903276220418

Artist spammer",365905620060340224
58,968207642227007508,"Deleted User 91c2ea71 (Deleted User 91c2ea71)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1141818364738687016_0.png",685127470625980501
59,268480189065986059,"Draco (dracostarscale)",high,other,"Various red flags - reported by littgame83","https://certifriedmultitool.com/evidence/1139325045630578788_0.png | https://certifriedmultitool.com/evidence/1139325045630578788_1.png | https://certifriedmultitool.com/evidence/1139325045630578788_2.png",598218835870351405
60,1136718796388827159,"emicakei125 (emicakei)",high,other,"Various red flags - reported by seelenmorder","No image evidence - message content: 1136718796388827159 soliciting art in DM after unsolicited friend request.",462315941045469211
61,1130778939606962206,"deleted_user_f09036e6dbfd (deleted_user_f09036e6dbfd)",high,other,"Various red flags - reported by death420","No image evidence - message content: Salony
Discord ID: '1130778939606962206'

Steam scammer",365905620060340224
62,1001440126171361382,"Nickey (nickeyyt)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1122232880823804075_0.jpg",174920468309082113
63,907417639209566248,"Onlion (onlion.)",high,other,"Various red flags - reported by death420","No image evidence - message content: Discord ID: `907417639209566248`
No shared servers / no shared friends: Friend request out of the blue.
Check out their profile: ""Artista y Productor""",365905620060340224
64,1086295068442378291,"deleted_user_096bff3cd303 (deleted_user_096bff3cd303)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: Discord IDs: `1086295068442378291`, `557876807144046596`
Known doxxer and Twitch viewbotter.

Their local authorities have been notified

https://disc",685127470625980501
65,557876807144046596,"Isra84 (isra84_)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: Discord IDs: `1086295068442378291`, `557876807144046596`
Known doxxer and Twitch viewbotter.

Their local authorities have been notified

https://disc",685127470625980501
66,967023695589675039,"Subeta (subeta9906)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1111998224186748958_0.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_1.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_2.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_3.jpg",1049686866414280734
67,164909914374930434,"Sera (yzrch)",high,other,"Various red flags - reported by yourwelshprincess","https://certifriedmultitool.com/evidence/1111998224186748958_0.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_1.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_2.jpg | https://certifriedmultitool.com/evidence/1111998224186748958_3.jpg",1049686866414280734
68,649021681398054922,"Bogo (mfbogo)",high,other,"Various red flags - reported by joehew","No image evidence - message content: 649021681398054922 
1086295068442378291 
980719203176816662
459281050435059713
229660076359680000",174920468309082113
69,980719203176816662,"deleted_user_b1ad0c7c4b8c (deleted_user_b1ad0c7c4b8c)",high,other,"Various red flags - reported by joehew","No image evidence - message content: 649021681398054922 
1086295068442378291 
980719203176816662
459281050435059713
229660076359680000",174920468309082113
70,459281050435059713,"everything is fake (abitterpain)",high,other,"Various red flags - reported by joehew","No image evidence - message content: 649021681398054922 
1086295068442378291 
980719203176816662
459281050435059713
229660076359680000",174920468309082113
71,229660076359680000,". (578437543903)",high,other,"Various red flags - reported by joehew","No image evidence - message content: 649021681398054922 
1086295068442378291 
980719203176816662
459281050435059713
229660076359680000",174920468309082113
72,985306773529456641,"Lilly_Cooper (originallillycooper)",high,other,"Various red flags - reported by sheepwego","No image evidence - message content: Trying to sell art to a mate of mine:     Charlotte_charles#4128   ,  Lilly_Cooper#7144     ID's: 985306773529456641  , 1034587247468617759",784142127171895306
73,1034587247468617759,"charlotte_charles (charlotte_charles)",high,other,"Various red flags - reported by sheepwego","No image evidence - message content: Trying to sell art to a mate of mine:     Charlotte_charles#4128   ,  Lilly_Cooper#7144     ID's: 985306773529456641  , 1034587247468617759",784142127171895306
74,1048338889955364934,"avaadom (avaadom)",high,other,"Various red flags - reported by joehew","No image evidence - message content: 1048338889955364934",174920468309082113
75,1094379004838019264,"Nicholas_48 (nicholas_48_)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1098986642800377917_0.png",174920468309082113
76,629291784861777920,"Wish Wonders (Ori) (ori_boardwalk)",high,other,"Various red flags - reported by demoniarae","No image evidence - message content: Ori Boardwalk
Main acct: 629291784861777920
Alt acct: 857524119347134484
-Creepy, stalker like behavior and continuously sending unsolicited DMs after",357266048770244628
77,857524119347134484,"deleted_user_ad3e78402ec5 (deleted_user_ad3e78402ec5)",high,other,"Various red flags - reported by demoniarae","No image evidence - message content: Ori Boardwalk
Main acct: 629291784861777920
Alt acct: 857524119347134484
-Creepy, stalker like behavior and continuously sending unsolicited DMs after",357266048770244628
78,922762407124828202,"USER (user9997979)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1098652492218236969_0.jpg | https://certifriedmultitool.com/evidence/1098652492218236969_1.jpg | https://certifriedmultitool.com/evidence/1098652492218236969_2.jpg",174920468309082113
79,1015176914803105822,"clintonwaller (clintonwaller)",high,other,"Various red flags - reported by axiiasto","https://certifriedmultitool.com/evidence/1098334558228848860_0.png | https://certifriedmultitool.com/evidence/1098334558228848860_1.png | https://certifriedmultitool.com/evidence/1098334558228848860_2.png | https://certifriedmultitool.com/evidence/1098334558228848860_3.png | https://certifriedmultitool.com/evidence/1098334558228848860_4.png",687831251012681798
80,1044453580628824074,"Unknown/Deleted User",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: To everyone with Discord servers, they are rolling out with a new voice message feature. Just so you're aware, this can be a dangerous feature to gran",687831251012681798
81,1067259988445237300,"deleted_user_593b19498f87 (deleted_user_593b19498f87)",high,other,"Various red flags - reported by julesmm","No image evidence - message content: ""big blue cat"" 1067259988445237300 
- hateful messages",465585651232931871
82,1037266257877147689,"Balea*~*studio (balea_studio)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
83,1065026021805531227,"Ashley_vtuber (ashley_vtuber)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
84,1053020017945481267,"Kelly_gfx (kelly_gfx)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
85,1064408375997247519,"amanda_james27 (amanda_james)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
86,1047500214090612766,"minne7614 (minne7614)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
87,1087795529234272442,"deleted_user_784c72aa5243 (deleted_user_784c72aa5243)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
88,1086005061425041519,"deleted_user_ea7238491c20 (deleted_user_ea7238491c20)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
89,874711686429438012,"Artist.Layla (artist.layla)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
90,1071502505810345984,"deleted_user_c9f3c7422139 (deleted_user_c9f3c7422139)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
91,903022083599134761,"alice (alice_daniel)",high,other,"Various red flags - reported by axiiasto","No image evidence - message content: Here are several Discord IDs of graphic artists that have made their way into my server.
1037266257877147689
1065026021805531227
1053020017945481267
1",687831251012681798
92,1066025060407705681,"Eliza Harper (elizaharper)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: `1066025060407705681`
graphic artist",534127122827051028
93,397212681985327104,"deleted_user_5e32321a53cd (deleted_user_5e32321a53cd)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1088328240977936465_0.jpg",174920468309082113
94,1075795021506285680,"destiny. (destiny.1730)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1087765771335250001_0.jpg | https://certifriedmultitool.com/evidence/1087765771335250001_1.jpg",174920468309082113
95,1086348849741836348,"Unknown/Deleted User",high,other,"Various red flags - reported by queenofhearts710","No image evidence - message content: Discord Id : 1086348849741836348",484540877910573068
96,809476416654540810,"deleted_user_cc5dc236242a (deleted_user_cc5dc236242a)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: `809476416654540810`
Spamming sexually explicit content in GIF form",534127122827051028
97,1079568091199053856,"deleted_user_8152d71eda68 (deleted_user_8152d71eda68)",high,other,"Various red flags - reported by drewbusi","https://certifriedmultitool.com/evidence/1079572218192875520_0.png",753529965579862016
98,733731507151306824,"deleted_user_28f4c04e30f1 (deleted_user_28f4c04e30f1)",high,other,"Various red flags - reported by death420","No image evidence - message content: <@733731507151306824> 
User id: `733731507151306824`- another ""pornographic"" discord link spammer",365905620060340224
99,645324611826876427,"deleted_user_b462648ed1f8 (deleted_user_b462648ed1f8)",high,other,"Various red flags - reported by fluffythewalrus","No image evidence - message content: ⁨Blue-raider⁩#7288 (645324611826876427)  posted links to pornographic materials",169224065494679552
100,1068408499073208410,"Unknown/Deleted User",high,other,"Various red flags - reported by queenofhearts710","No image evidence - message content: id number : 1068408499073208410",484540877910573068
101,798900523972820992,"deleted_user_bd033b25f4da (deleted_user_bd033b25f4da)",high,other,"Various red flags - reported by fluffythewalrus","No image evidence - message content: Nope#0009 (798900523972820992) posted horrifying gory material in my Discord",169224065494679552
102,1064286880444711084,"Unknown/Deleted User",high,other,"Various red flags - reported by queenofhearts710","No image evidence - message content: Discord id: 1064286880444711084",484540877910573068
103,484540877910573068,"👑𝓠𝓾𝓮𝓮𝓷𝓞𝓯𝓗𝓮𝓪𝓻𝓽𝓼710👑 (queenofhearts710)",high,other,"Various red flags - reported by joehew","No image evidence - message content: <@484540877910573068>, could you please share their Discord ID?",174920468309082113
104,1063843587135127624,"Unknown/Deleted User",high,other,"Various red flags - reported by death420","No image evidence - message content: Discord id: 1063843587135127624
Steam scam profile",365905620060340224
105,1036642802697777202,"Deleted User 1a902f9f (Deleted User 1a902f9f)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1061269593815003247_0.jpg",174920468309082113
106,816741498581811255,"Tyrannos1993 (tyrannos1997)",high,other,"Various red flags - reported by mineycart","https://certifriedmultitool.com/evidence/1057020300455317534_0.png | https://certifriedmultitool.com/evidence/1057020300455317534_1.png | https://certifriedmultitool.com/evidence/1057020300455317534_2.png | https://certifriedmultitool.com/evidence/1057020300455317534_3.png",534127122827051028
107,927675033902530652,"kenneth51801 (kenneth51801)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Discord id: `927675033902530652`
Twitch username: `kenneth51801`

Sexually harassing one of my underage female swords and asking impertinent questions",534127122827051028
108,547014366860410880,"BB (.elcono)",high,other,"Various red flags - reported by mrfluffynl","No image evidence - message content: el cono 547014366860410880
Goobman 277621699510403084
N0odle 277268519547043842

Toxic people who harass people in discord after harassing on Twitch
B",181886583983702016
109,277621699510403084,"Goobman (.goobman)",high,other,"Various red flags - reported by mrfluffynl","No image evidence - message content: el cono 547014366860410880
Goobman 277621699510403084
N0odle 277268519547043842

Toxic people who harass people in discord after harassing on Twitch
B",181886583983702016
110,277268519547043842,"N0odle (n0odle_0000)",high,other,"Various red flags - reported by mrfluffynl","No image evidence - message content: el cono 547014366860410880
Goobman 277621699510403084
N0odle 277268519547043842

Toxic people who harass people in discord after harassing on Twitch
B",181886583983702016
111,747809055762022411,"Unknown/Deleted User",high,other,"Various red flags - reported by littgame83","No image evidence - message content: I’ve been told that there’s a scam going around in DMs at the moment that looks like this. 

https://media.discordapp.net/attachments/7478090557620224",598218835870351405
112,1042949857888981022,"Unknown/Deleted User",high,other,"Various red flags - reported by littgame83","No image evidence - message content: I’ve been told that there’s a scam going around in DMs at the moment that looks like this. 

https://media.discordapp.net/attachments/7478090557620224",598218835870351405
113,1023557005912330301,"Deleted User dfc3739a (Deleted User dfc3739a)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: ?ban 1023557005912330301 Nitro scam bot",685127470625980501
114,894549713087500319,"Deleted User 1456a54d (Deleted User 1456a54d)",high,other,"Various red flags - reported by death420","No image evidence - message content: `894549713087500319`

Discord spam / phishing bot - attempts to collect info by telling you ""discord has gifted you a free nitro boost""",365905620060340224
115,348870586312818690,"Benji (b.enji)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: ```348870586312818690```
```1034642414985555989```
2 horrible people who have targeted harassed people to a serious degree to the point where the poli",534127122827051028
116,1034642414985555989,"Jalon (jalon8480)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: ```348870586312818690```
```1034642414985555989```
2 horrible people who have targeted harassed people to a serious degree to the point where the poli",534127122827051028
117,1023388803693559840,"Deleted User 1e7eb5ee (Deleted User 1e7eb5ee)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1038638759966674965_0.png",365905620060340224
118,751411247538372669,"febriyani (febriyani0249)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: `751411247538372669`
Spamming discord spam links",534127122827051028
119,887377465612312596,"Deleted User af8fd3cf (Deleted User af8fd3cf)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1024051631173664809_0.png",365905620060340224
120,672863662922268684,"Vaping_Whovian (vaping_whovian)",high,other,"Various red flags - reported by queenofhearts710","No image evidence - message content: I know I been spreading it around to warn as well <@672863662922268684>",484540877910573068
121,993243435391791194,"BLAZ3 (xblazzey)",high,other,"Various red flags - reported by mineycart","https://certifriedmultitool.com/evidence/1004036103126397069_0.png",534127122827051028
122,809120343239032863,"NOCAPBASIL (nocapbasil5992)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1001867294416326717_0.png",365905620060340224
123,625865941065924619,"Chaotic (damagedchaos.)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1000902129533341716_0.jpg",174920468309082113
124,219203684188422144,"Clutch World (clutchworld)",high,other,"Various red flags - reported by death420","No image evidence - message content: Username: `JaClutch#7714` Discord ID: `219203684188422144` - hacker, troll, doxxing - tried to publicly display my home address to a general channel a",365905620060340224
125,384541554313920512,"Cant get me on the line (ironsacc)",high,other,"Various red flags - reported by death420","No image evidence - message content: Username: `JaClutch#7714` Discord ID: `219203684188422144` - hacker, troll, doxxing - tried to publicly display my home address to a general channel a",365905620060340224
126,406880348333539331,"Lou (ghostlad777)",high,other,"Various red flags - reported by death420","No image evidence - message content: Username: `JaClutch#7714` Discord ID: `219203684188422144` - hacker, troll, doxxing - tried to publicly display my home address to a general channel a",365905620060340224
127,994176100831867006,"deleted_user_1608f410180b (deleted_user_1608f410180b)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/994194413448331344_0.png",685127470625980501
128,1542724962393505792,"Unknown/Deleted User",high,other,"Various red flags - reported by mineycart","No image evidence - message content: New thing *sigh*
https://twitter.com/ARC_Automaton/status/1542724962393505792?t=RLiFYdg1Jh657dX--GIuUQ&s=19",534127122827051028
129,982468788349984768,"deleted_user_5cce095c41c8 (deleted_user_5cce095c41c8)",high,other,"Various red flags - reported by mineycart","https://certifriedmultitool.com/evidence/991467862051012660_0.png",534127122827051028
130,978828019336634480,"Unknown/Deleted User",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Here's a few for you
`978828019336634480` - troublemaker (invited troll accounts in) [ACCOUNT DELETED]
`394871587062677504` - invited more troll accou",534127122827051028
131,394871587062677504,"tobee369 (tobeeisverycool369)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Here's a few for you
`978828019336634480` - troublemaker (invited troll accounts in) [ACCOUNT DELETED]
`394871587062677504` - invited more troll accou",534127122827051028
132,412282715149172736,"loud (loud99)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Here's a few for you
`978828019336634480` - troublemaker (invited troll accounts in) [ACCOUNT DELETED]
`394871587062677504` - invited more troll accou",534127122827051028
133,818920746322755626,"Nixie (nixie_the_lynxie)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Here's a few for you
`978828019336634480` - troublemaker (invited troll accounts in) [ACCOUNT DELETED]
`394871587062677504` - invited more troll accou",534127122827051028
134,663081167125217340,"deleted_user_c1e98f3e0e56 (deleted_user_c1e98f3e0e56)",high,other,"Various red flags - reported by mineycart","No image evidence - message content: Here's a few for you
`978828019336634480` - troublemaker (invited troll accounts in) [ACCOUNT DELETED]
`394871587062677504` - invited more troll accou",534127122827051028
